Bal;Date;Heure;debit (g/h);debit1 (g/h)
630;2022.10.06;04:45,3;2,001;2,001
631;2022.10.06;04:47,3;2,005;2,005
632;2022.10.06;04:49,3;2,006;2,006
633;2022.10.06;04:51,3;2,007;2,007
634;2022.10.06;04:53,3;2;2
635;2022.10.06;04:55,3;2,003;2,003
636;2022.10.06;04:57,3;1,996;1,996
637;2022.10.06;04:59,3;2,003;2,003
638;2022.10.06;05:01,3;1,997;1,997
639;2022.10.06;05:03,3;1,998;1,998
640;2022.10.06;05:05,3;1,997;1,997
641;2022.10.06;05:07,3;2,004;2,004
642;2022.10.06;05:09,3;2;2
643;2022.10.06;05:11,3;2,001;2,001
644;2022.10.06;05:13,3;1,998;1,998
645;2022.10.06;05:15,3;2,008;2,008
646;2022.10.06;05:17,3;2,007;2,007
647;2022.10.06;05:19,3;2,002;2,002
648;2022.10.06;05:21,3;2,003;2,003
649;2022.10.06;05:23,3;1,999;1,999
650;2022.10.06;05:25,3;1,998;1,998
651;2022.10.06;05:27,3;2,002;2,002
652;2022.10.06;05:29,3;2,002;2,002
653;2022.10.06;05:31,3;1,995;1,995
654;2022.10.06;05:33,3;2,001;2,001
655;2022.10.06;05:35,3;1,998;1,998
656;2022.10.06;05:37,3;2,003;2,003
657;2022.10.06;05:39,3;2,001;2,001
658;2022.10.06;05:41,3;2,003;2,003
659;2022.10.06;05:43,3;2,003;2,003
660;2022.10.06;05:45,3;1,997;1,997
661;2022.10.06;05:47,3;2;2
662;2022.10.06;05:49,3;1,999;1,999
663;2022.10.06;05:51,3;1,999;1,999
